,age,workclass,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
3361,4,4,1,6,4,9,2,4,0,0,0,39,26,0
3362,12,4,0,5,4,8,3,2,0,0,0,31,39,0
3363,19,4,15,9,2,4,0,4,1,0,0,39,39,0
3364,3,4,15,9,4,1,3,4,0,0,0,24,39,0
3365,34,4,9,12,2,4,0,4,1,0,0,39,39,1
3366,22,4,1,6,2,7,0,4,1,0,0,39,39,0
3367,19,4,9,12,2,4,0,4,1,79,0,49,39,0
3368,23,6,14,14,2,10,0,4,1,121,0,69,39,1
3369,44,4,11,8,2,4,0,4,1,0,0,49,39,0
3370,21,4,14,14,2,10,0,4,1,0,0,59,39,0
3371,3,0,15,9,4,0,3,4,1,0,0,34,39,0
3372,4,4,11,8,5,8,3,4,0,0,0,34,39,0
3374,29,4,0,5,2,3,0,4,1,0,0,44,39,0
3375,4,4,15,9,2,3,0,4,1,0,0,53,39,0
3376,18,6,0,5,2,14,0,2,1,0,0,49,39,0
3377,22,4,9,12,2,12,0,4,1,0,0,39,39,0
3378,21,6,11,8,2,3,0,4,1,0,0,59,39,0
3380,11,4,6,4,4,7,4,3,1,0,0,39,26,0
3381,15,4,9,12,2,4,0,4,1,0,0,39,39,1
3382,29,6,8,10,2,3,0,4,1,0,0,39,39,1
3383,23,4,8,10,2,3,0,4,1,0,0,39,39,0
3384,30,4,11,8,2,7,5,2,0,111,0,39,39,1
3385,27,4,0,5,2,14,0,4,1,0,0,39,39,0
3386,21,4,11,8,2,12,0,4,1,60,0,39,4,0
3387,34,0,11,8,3,0,1,4,1,0,0,19,39,1
3388,29,6,9,12,2,5,0,4,1,0,0,39,39,1
3389,34,4,10,15,2,10,0,4,1,111,0,59,20,1
3390,28,4,10,15,6,10,4,4,1,110,0,39,20,1
3392,27,4,9,12,2,10,0,4,1,0,0,44,39,0
3393,16,4,8,10,2,5,0,4,1,0,0,44,39,0
3394,1,4,11,8,4,8,3,4,0,0,0,29,39,0
3395,44,5,14,14,5,10,1,4,1,0,0,39,39,1
3396,33,7,9,12,4,4,1,4,0,0,0,39,39,0
3397,30,1,11,8,4,7,3,2,1,0,0,39,39,0
3398,17,4,9,12,2,4,0,4,1,0,0,49,39,1
3399,36,4,11,8,2,14,0,2,1,0,0,59,39,0
3400,22,6,15,9,2,3,0,4,1,0,0,39,39,0
3401,41,4,11,8,2,3,0,4,1,0,0,39,39,1
3402,49,0,11,8,2,0,0,2,1,0,0,17,39,0
3403,9,4,1,6,4,5,1,4,1,0,0,49,39,0
3404,24,4,4,2,2,1,0,4,1,0,0,39,26,0
3405,30,2,15,9,2,4,0,4,1,0,0,39,39,0
3406,14,4,8,10,2,7,0,0,1,0,0,39,39,0
3407,35,4,15,9,2,4,0,4,1,0,0,39,39,1
3408,12,4,7,11,2,12,0,4,1,0,0,49,39,1
3409,26,4,6,4,5,6,4,2,0,0,0,49,39,0
3410,25,1,12,13,2,4,0,4,1,0,0,39,39,1
3411,18,4,15,9,4,7,1,2,0,0,0,29,39,0
3412,24,4,11,8,2,7,0,4,1,45,0,39,39,0
3413,17,4,9,12,2,12,0,4,1,94,0,59,39,1
3414,35,6,15,9,2,3,0,4,1,0,0,39,39,0
3415,44,4,15,9,2,3,0,4,1,0,0,39,39,0
3416,22,2,11,8,5,4,4,4,1,0,0,39,39,0
3417,2,4,15,9,4,12,1,4,0,0,0,24,39,0
3418,29,7,9,12,2,4,0,4,1,97,0,39,39,1
3419,22,4,15,9,4,4,1,4,1,0,0,44,39,0
3420,5,4,15,9,4,8,1,4,1,0,0,49,39,0
3421,13,7,11,8,5,1,1,4,0,0,0,39,39,0
3422,23,4,8,10,0,8,1,4,0,0,0,31,39,0
3423,26,4,9,12,3,10,1,4,1,55,0,39,39,0
3424,20,4,4,2,2,5,0,4,1,0,0,35,26,0
3425,6,4,7,11,4,8,3,4,1,0,0,19,39,0
3426,22,2,7,11,0,10,1,4,1,0,0,58,39,0
3427,37,4,12,13,2,12,0,4,1,0,0,39,39,0
3428,29,5,15,9,2,12,0,4,1,0,0,59,39,0
3429,3,4,15,9,4,14,3,4,0,0,0,39,39,0
3430,33,6,9,12,2,13,5,4,0,0,0,49,39,1
3431,0,4,0,5,4,12,3,4,0,0,0,14,39,0
3432,19,4,11,8,2,7,0,4,1,0,0,39,39,0
3433,20,4,11,8,2,12,0,4,1,0,0,44,39,0
3434,36,4,11,8,0,8,1,4,0,0,0,37,39,0
3435,33,4,11,8,2,14,0,4,1,0,0,39,39,1
3436,21,4,11,8,2,3,0,4,1,0,0,39,39,0
3437,46,6,11,8,2,3,0,4,1,0,0,31,39,0
3438,36,4,11,8,2,3,0,4,1,0,0,49,39,1
3439,23,0,9,12,0,0,1,4,0,0,0,49,39,0
3440,6,5,15,9,4,10,1,4,1,0,0,49,39,0
3441,3,4,11,8,4,6,1,4,1,0,0,42,39,0
3442,29,4,15,9,2,3,0,2,1,0,0,39,39,1
3443,11,4,0,5,4,8,2,0,1,0,0,39,26,0
3444,42,4,12,13,0,10,1,4,1,0,0,49,39,0
3446,16,4,13,0,2,5,0,4,1,0,0,39,26,0
3447,39,4,2,7,2,3,0,4,1,0,0,39,22,0
3448,33,6,11,8,2,12,0,4,1,111,0,54,8,1
3449,14,2,9,12,4,4,1,4,0,0,0,49,39,0
3450,24,4,8,10,0,12,3,4,1,0,0,49,39,0
3451,21,4,9,12,2,10,5,4,0,97,0,39,39,1
3452,8,7,7,11,4,1,3,4,0,0,0,39,39,0
3453,1,0,11,8,4,0,2,3,0,0,0,11,39,0
3454,32,2,9,12,0,10,4,2,0,0,0,39,39,0
3455,22,4,15,9,4,7,3,4,1,0,0,39,39,0
3456,5,0,15,9,4,0,3,4,0,0,0,19,39,0
3457,4,4,15,9,4,10,3,4,0,0,0,24,39,0
3458,18,4,9,12,2,12,0,4,1,0,0,39,39,0
3459,4,0,11,8,4,0,4,4,0,0,0,39,39,0
3460,21,4,11,8,2,3,0,4,1,0,0,39,39,1
3461,38,4,5,3,6,8,4,4,0,0,0,19,0,0
3462,14,4,11,8,0,14,1,4,1,0,0,54,39,0
3463,0,5,1,6,4,10,3,4,1,0,0,19,39,0
3464,14,4,9,12,2,1,0,4,1,94,0,49,39,1
3465,8,2,9,12,4,10,1,4,1,0,0,39,39,0
3466,22,4,12,13,2,4,0,4,1,0,0,54,39,1
3467,33,4,5,3,2,7,0,4,1,0,0,39,39,0
3468,21,2,9,12,2,10,5,4,0,0,0,19,39,1
3469,33,4,15,9,2,12,0,4,1,0,0,59,39,0
3470,46,4,0,5,2,4,0,4,1,0,0,39,39,0
3471,14,4,11,8,2,14,0,4,1,0,0,49,39,0
3472,6,4,9,12,4,10,3,4,0,0,0,39,39,0
3473,1,4,15,9,4,8,3,4,1,0,0,19,39,0
3474,26,2,9,12,0,10,4,4,0,0,0,47,39,0
3475,17,4,15,9,2,4,0,4,1,0,0,49,39,1
3476,1,4,1,6,4,12,3,4,1,0,0,34,39,0
3477,29,4,11,8,2,7,0,2,1,70,0,39,39,1
3478,18,4,9,12,4,12,4,4,0,0,0,39,39,1
3479,29,7,12,13,4,4,1,4,0,0,0,37,39,0
3480,42,4,8,10,2,13,0,4,1,94,0,39,39,1
3481,14,4,5,3,4,6,1,4,0,0,0,29,32,0
3482,10,4,11,8,0,12,4,4,0,0,0,36,39,0
3483,24,4,12,13,2,10,0,4,1,0,0,39,9,0
3484,25,4,11,8,4,3,3,2,1,0,0,39,0,0
3485,38,4,9,12,2,4,0,4,1,0,0,39,39,1
3486,17,0,11,8,4,0,1,2,0,0,0,39,39,0
3487,27,4,11,8,4,7,1,4,0,0,0,39,39,0
3488,9,4,9,12,4,4,1,4,0,0,34,49,39,0
3489,19,4,8,10,2,10,5,4,0,0,0,39,39,1
3490,52,4,6,4,2,8,0,4,1,13,0,34,39,0
3491,16,4,15,9,4,1,4,4,0,0,0,39,39,0
3492,13,4,8,10,2,10,0,4,1,0,0,39,39,0
3493,18,4,11,8,2,8,5,4,0,0,0,15,39,1
3494,8,4,9,12,4,4,1,4,0,0,0,39,39,1
3495,4,4,15,9,4,8,3,2,1,0,0,39,0,0
3496,1,4,1,6,4,8,2,2,1,0,0,14,39,0
3497,18,6,15,9,2,3,0,4,1,0,0,59,39,1
3498,3,4,11,8,2,6,0,4,1,0,0,49,39,0
3499,9,4,12,13,2,10,0,4,1,79,0,39,39,0
3500,29,4,9,12,2,13,0,4,1,0,0,39,39,0
3501,14,4,9,12,4,10,4,4,0,0,0,35,39,0
3502,23,4,14,14,2,3,0,4,1,81,0,39,26,1
3503,23,4,11,8,0,4,4,4,0,0,5,51,39,0
3504,14,4,9,12,4,4,1,4,0,0,0,39,39,0
3505,15,6,10,15,2,4,0,4,1,0,0,39,39,0
3506,6,6,15,9,0,1,3,4,1,0,0,39,39,0
3507,8,2,12,13,4,11,1,4,1,0,0,39,39,0
3508,20,4,15,9,2,14,0,4,1,0,0,49,39,0
3510,38,4,11,8,6,12,1,4,0,0,0,37,39,0
3511,35,4,6,4,0,3,4,4,0,0,0,39,5,0
3512,9,4,11,8,4,1,3,4,0,0,0,39,39,0
3513,20,4,15,9,4,13,1,4,1,0,0,39,39,1
3514,22,4,11,8,0,4,4,4,0,0,0,44,39,0
3515,45,6,9,12,0,10,1,4,0,0,0,39,39,1
3517,30,4,11,8,2,3,0,4,1,0,0,44,39,1
3518,34,2,9,12,2,11,0,4,1,0,0,39,39,1
3519,38,4,11,8,0,8,4,4,0,0,0,39,39,0
3520,13,4,11,8,2,3,0,4,1,0,0,34,39,0
3521,42,1,15,9,2,3,0,4,1,0,0,35,39,0
3522,28,6,0,5,2,3,0,4,1,0,0,64,39,0
3523,35,4,15,9,2,4,0,4,1,111,0,44,39,1
3524,4,4,11,8,4,6,3,4,1,0,0,19,39,0
3525,14,4,11,8,2,7,0,4,1,0,0,54,39,0
3526,12,4,15,9,4,1,3,2,1,0,0,39,39,0
3527,7,4,11,8,2,6,0,4,1,0,0,39,39,0
3528,0,4,0,5,4,8,3,4,1,0,0,23,39,0
3529,30,4,11,8,0,7,1,2,0,0,0,39,39,0
3530,29,4,15,9,2,12,0,4,1,0,0,49,39,1
3531,15,0,11,8,0,0,4,4,0,0,0,27,39,0
3532,17,4,0,5,4,5,1,4,1,0,0,43,0,0
3533,46,4,2,7,2,14,0,4,1,0,0,39,5,0
3534,4,4,15,9,4,8,3,4,1,0,0,24,39,0
3535,1,4,11,8,4,8,2,2,1,0,0,35,39,0
3536,32,7,10,15,2,4,0,4,1,0,0,49,39,1
3537,64,6,11,8,6,1,1,4,0,0,0,19,39,0
3538,19,5,7,11,2,4,0,4,1,0,0,39,39,1
3539,30,4,11,8,2,3,0,4,1,0,0,39,39,1
3540,19,4,12,13,2,12,0,4,1,0,0,49,39,1
3541,22,6,8,10,2,5,0,4,1,0,0,59,39,0
3542,29,4,9,12,4,12,1,4,0,0,0,34,39,0
3543,26,2,15,9,2,1,5,4,0,0,51,39,39,1
3544,22,2,9,12,0,1,4,4,0,0,0,34,39,0
3545,12,4,15,9,5,12,1,4,0,0,0,39,39,0
3546,6,4,11,8,4,6,3,2,0,0,0,15,39,0
3547,40,4,0,5,2,3,0,4,1,0,0,42,39,0
3548,21,6,11,8,4,12,4,2,0,0,0,41,39,0
3549,8,4,9,12,4,12,3,4,0,0,0,39,39,0
3550,22,2,15,9,2,4,0,4,1,0,0,39,39,0
3551,7,4,15,9,4,12,1,2,1,0,0,39,23,0
3552,39,4,12,13,2,3,0,4,1,0,55,43,39,1
3553,22,4,2,7,0,12,1,4,0,0,0,39,39,0
3554,6,4,8,10,4,12,4,4,0,0,0,59,39,0
3555,0,0,1,6,4,0,1,3,0,0,0,19,39,0
3556,50,6,11,8,0,4,1,4,0,54,0,15,39,0
3557,24,4,9,12,4,1,1,1,1,0,0,49,39,0
3558,7,2,9,12,4,10,3,4,0,0,0,49,39,0
3559,34,4,9,12,0,4,1,2,1,103,0,39,39,1
3560,13,5,11,8,0,8,1,4,0,0,0,59,39,0
3561,30,5,11,8,2,5,0,4,1,111,0,39,39,1
3562,39,4,11,8,4,7,1,4,1,0,0,31,39,0
3563,34,4,11,8,0,3,1,4,1,0,0,37,39,0
3564,40,6,15,9,2,4,0,4,1,0,0,54,39,0
3565,17,4,15,9,0,8,4,4,0,0,0,39,39,0
3566,7,4,9,12,4,10,1,4,1,0,0,39,39,0
3567,40,4,11,8,2,7,0,4,1,0,0,39,39,0
3568,21,4,11,8,2,7,0,4,1,0,0,39,39,1
3569,6,4,11,8,4,13,1,4,0,0,0,39,39,0
3570,18,4,5,3,2,7,0,4,1,0,0,39,26,0
3571,41,4,11,8,2,3,0,4,1,0,0,51,39,0
3572,2,0,11,8,4,0,3,4,0,6,0,11,39,0
3573,2,0,5,3,4,0,1,4,1,0,0,39,26,0
3574,51,7,10,15,2,10,0,4,1,0,79,59,39,1
3575,26,4,15,9,2,4,0,4,1,0,51,39,39,1
3576,0,4,1,6,4,8,3,4,0,0,0,19,39,0
3577,36,7,10,15,2,10,0,4,1,97,0,49,39,1
3578,20,5,10,15,2,10,0,2,1,0,0,95,39,1
3579,4,0,9,12,4,0,1,1,1,0,0,24,0,0
3580,46,4,11,8,2,3,0,4,1,0,0,39,39,1
3581,14,4,15,9,3,14,4,4,1,0,0,49,39,0
3582,12,4,11,8,2,8,0,4,1,0,0,39,39,0
3583,26,2,15,9,2,11,0,4,1,0,50,39,39,1
3584,10,4,14,14,4,10,1,4,0,0,0,64,39,1
3585,8,6,11,8,4,8,2,4,1,0,0,31,39,0
3586,11,4,11,8,4,10,1,4,0,0,0,39,39,0
3587,37,4,11,8,0,12,4,4,0,0,0,34,39,0
3588,57,0,15,9,6,0,1,4,0,0,0,11,39,0
3589,14,2,15,9,4,4,3,0,0,0,0,31,39,0
3590,6,4,15,9,4,13,1,4,1,0,0,47,39,0
3591,2,4,9,12,4,10,3,4,0,0,0,29,39,0
3592,22,0,13,0,6,0,1,4,0,0,0,19,8,0
3593,44,6,11,8,2,5,5,4,0,115,0,39,39,0
3594,42,0,11,8,2,0,5,4,0,97,0,39,39,1
3595,10,5,8,10,2,8,5,4,0,0,0,35,39,1
3596,2,4,15,9,4,1,3,2,0,0,0,19,39,0
3597,6,0,11,8,4,0,3,4,1,0,0,39,39,0
3598,8,2,11,8,0,1,1,0,0,0,0,34,39,0
3599,23,4,15,9,2,13,0,4,1,0,0,47,39,1
3600,36,4,1,6,0,8,1,4,0,0,0,36,39,0
3601,15,4,9,12,4,10,1,4,1,0,0,44,39,0
3602,55,6,10,15,2,10,0,4,1,0,80,24,39,1
3605,0,4,0,5,4,8,3,0,0,6,0,19,39,0
3606,56,4,11,8,2,14,0,4,1,0,0,15,2,0
3607,24,6,15,9,5,3,1,4,1,0,0,39,39,0
3608,6,4,15,9,4,7,3,2,0,0,0,19,23,0
3609,6,4,11,8,4,10,1,4,0,0,0,39,2,0
3610,48,4,8,10,2,1,0,4,1,0,0,14,39,0
3611,28,5,11,8,2,12,5,4,0,0,0,49,39,0
3612,35,1,9,12,2,13,0,2,1,97,0,39,39,1
3613,7,2,9,12,4,1,3,2,0,0,0,26,39,0
3614,6,4,8,10,2,3,0,4,1,0,0,39,39,0
3615,13,4,15,9,0,13,3,4,0,0,0,39,39,0
3616,9,4,9,12,4,4,1,4,1,0,0,39,39,0
3617,20,6,11,8,0,5,4,4,1,0,0,55,39,0
3618,0,4,11,8,4,8,3,4,1,0,0,39,39,0
3619,14,4,11,8,2,12,0,4,1,0,0,39,39,0
3620,35,4,11,8,5,1,2,4,0,0,0,39,39,0
3621,46,4,9,12,4,12,1,4,1,0,0,26,39,0
3622,10,4,11,8,4,9,1,4,0,0,0,59,39,0
3623,14,4,6,4,2,7,0,4,1,53,0,39,26,0
3624,54,6,11,8,6,1,1,4,0,0,0,34,39,0
3625,18,4,9,12,2,4,0,4,1,0,0,59,39,0
3626,27,4,11,8,2,1,5,4,0,0,0,37,39,0
3627,19,4,12,13,2,10,0,1,1,0,0,39,3,0
3628,5,4,9,12,4,4,2,4,0,0,0,19,39,0
3629,15,4,11,8,2,10,0,4,1,0,19,47,39,0
3630,13,2,9,12,0,10,4,4,0,0,0,39,39,0
3631,43,0,11,8,2,0,0,4,1,0,0,39,39,0
3632,8,4,15,9,4,1,3,4,0,0,0,39,39,0
3633,59,4,5,3,6,11,1,4,0,0,0,11,39,0
3634,24,4,11,8,0,3,1,4,1,0,0,39,39,0
3635,9,4,5,3,2,7,0,3,1,0,0,39,39,0
3636,28,4,2,7,2,7,0,1,1,0,0,39,0,0
3637,15,4,15,9,0,1,4,4,0,0,0,39,39,0
3638,5,4,11,8,4,3,1,4,1,0,0,39,39,0
3639,22,4,9,12,2,12,0,4,1,0,47,39,39,1
3640,46,6,9,12,4,14,1,4,1,0,0,39,39,0
3641,6,4,7,11,4,14,4,4,0,0,0,39,39,0
3642,44,4,0,5,2,7,0,4,1,0,0,39,39,0
3643,14,7,8,10,2,3,0,4,1,0,0,39,39,0
3644,8,4,6,4,2,7,0,4,1,0,0,44,39,0
3645,16,4,11,8,4,8,3,4,0,6,0,39,39,0
3646,22,4,11,8,2,12,5,4,0,0,0,35,39,0
3647,36,4,9,12,2,7,5,1,0,0,0,39,3,0
3648,9,1,9,12,4,4,1,4,0,0,0,39,39,0
3649,4,4,15,9,4,8,3,4,1,0,0,31,39,0
3650,1,4,11,8,4,1,3,2,1,0,0,39,39,0
3651,17,4,9,12,2,4,0,4,1,111,0,59,39,1
3652,27,7,12,13,2,10,0,2,1,97,0,39,39,1
3653,14,4,11,8,0,3,3,4,1,0,0,49,39,0
3654,27,4,11,8,2,14,0,4,1,0,0,39,39,1
3655,25,4,14,14,2,10,0,4,1,0,51,59,39,1
3656,26,4,11,8,2,7,0,4,1,0,0,43,26,0
3657,16,4,9,12,2,8,0,1,1,97,0,37,39,1
3658,4,4,15,9,4,12,3,2,0,0,0,29,39,0
3659,13,4,11,8,2,6,0,4,1,0,0,39,39,1
3660,38,4,11,8,2,14,0,4,1,0,0,59,39,0
3661,40,4,15,9,4,1,1,4,0,0,0,39,39,0
3662,20,4,11,8,4,5,1,4,1,0,0,49,39,0
3663,15,4,11,8,2,7,0,4,1,0,0,39,39,1
3664,45,6,9,12,2,10,0,4,1,0,0,59,39,1
3665,14,6,9,12,4,12,1,2,1,0,0,39,39,1
3666,34,4,9,12,2,4,0,4,1,0,0,49,10,1
3667,20,4,12,13,0,4,4,4,0,0,2,44,39,0
3668,28,4,4,2,2,14,0,4,1,0,0,37,26,0
3669,30,4,15,9,2,7,0,4,1,0,0,39,39,0
3670,14,0,11,8,0,0,3,4,1,0,0,73,39,0
3671,58,6,1,6,2,4,0,4,1,0,0,29,39,0
3672,26,4,12,13,2,10,0,3,1,0,0,49,39,0
3673,22,4,7,11,2,3,0,4,1,97,0,59,11,1
3674,13,4,9,12,2,10,0,4,1,0,0,39,39,1
3675,10,4,4,2,4,6,2,4,1,0,0,39,13,0
3676,27,4,11,8,2,7,0,0,1,0,0,39,39,0
3677,36,2,12,13,0,10,1,4,0,0,0,34,39,1
3678,23,4,9,12,2,1,0,4,1,0,0,39,39,0
3679,1,4,1,6,4,12,3,4,0,0,0,19,39,0
3680,16,4,9,12,2,11,0,2,1,0,0,39,9,0
3681,3,4,11,8,4,12,3,4,1,0,0,39,39,0
3682,21,4,15,9,2,4,0,2,1,0,0,49,39,0
3683,31,4,11,8,0,1,1,4,0,0,0,34,39,0
3684,29,6,11,8,2,4,0,4,1,0,0,39,39,0
3686,18,6,11,8,4,8,2,4,0,0,0,29,39,0
3687,7,4,5,3,4,6,2,4,1,0,0,39,26,0
3688,13,4,15,9,0,6,1,4,1,0,0,49,39,0
3689,53,4,11,8,2,4,0,4,1,0,0,29,39,0
3690,9,4,11,8,2,14,0,4,1,0,0,43,39,0
3691,17,4,11,8,2,3,0,4,1,0,35,39,39,0
3692,29,4,11,8,2,3,0,4,1,0,0,39,39,1
3693,53,4,11,8,2,1,5,4,0,0,0,4,39,0
3694,20,2,15,9,2,8,0,4,1,0,0,39,39,0
3695,19,6,15,9,0,12,4,4,0,0,0,34,39,0
3696,6,4,6,4,4,7,2,4,0,0,0,39,26,0
3697,11,4,11,8,2,12,0,4,1,0,30,39,39,0
3698,27,6,15,9,2,4,0,4,1,0,0,49,39,1
3699,41,4,11,8,0,7,1,4,1,55,0,29,39,0
3700,36,4,15,9,2,4,0,4,1,0,0,59,39,1
3701,6,4,15,9,2,6,0,4,1,0,0,39,39,0
3702,9,4,11,8,4,3,1,2,1,0,0,39,39,0
3703,4,0,15,9,2,0,0,4,1,0,0,39,39,0
3704,17,2,12,13,0,10,1,4,0,0,0,49,39,0
3705,26,4,1,6,2,3,0,4,1,0,0,39,39,0
3707,24,4,15,9,2,3,0,0,1,94,0,49,39,1
3708,19,4,11,8,2,1,0,1,1,0,0,39,40,0
3709,24,2,9,12,2,10,5,4,0,0,40,19,39,0
3710,10,4,11,8,4,1,1,4,1,71,0,39,39,0
3712,10,4,8,10,4,1,3,4,0,0,0,34,39,0
3713,24,4,11,8,0,11,3,4,1,0,0,39,39,0
3714,15,4,9,12,2,4,2,1,0,0,0,39,3,1
3715,4,4,15,9,4,1,3,1,1,0,0,19,39,0
3716,27,4,9,12,2,4,0,2,1,0,0,49,39,1
3717,12,4,9,12,4,4,3,4,1,0,0,39,39,0
3718,2,6,15,9,4,8,3,4,0,0,0,21,39,0
3719,4,2,15,9,4,1,3,4,1,0,0,39,13,0
3720,29,4,11,8,2,14,0,4,1,0,0,39,39,0
3721,21,4,9,12,2,4,0,4,1,0,0,54,39,1
3722,26,4,15,9,4,1,4,4,1,0,0,47,39,1
3723,37,5,11,8,2,12,0,4,1,0,0,49,39,1
3724,21,4,12,13,2,4,0,4,1,0,55,59,39,1
3725,1,0,15,9,4,0,3,4,1,0,0,39,39,0
3726,33,4,11,8,2,1,5,4,0,0,0,39,39,1
3727,13,4,8,10,2,10,5,4,0,0,0,35,39,1
3728,13,4,6,4,2,3,0,4,1,0,0,39,39,0
3729,11,2,11,8,4,4,4,0,0,0,0,34,39,0
3730,9,4,8,10,4,1,1,4,0,0,0,44,39,0
3731,20,1,15,9,2,3,0,4,1,0,0,42,39,0
3732,15,4,11,8,2,7,0,4,1,81,0,49,39,1
3733,47,7,12,13,2,10,5,4,0,0,0,4,39,1
3734,1,4,11,8,4,12,3,4,0,0,0,27,39,0
3735,13,4,15,9,2,1,0,4,1,0,0,29,39,0
3736,19,0,8,10,2,0,5,4,0,66,0,7,39,0
3737,1,4,1,6,4,8,2,2,1,0,0,29,39,0
3739,32,4,6,4,2,8,0,4,1,0,0,39,39,0
3740,29,7,11,8,2,8,0,4,1,0,0,42,39,1
3741,20,4,11,8,2,1,0,4,1,0,0,39,39,0
3742,13,4,15,9,0,14,1,4,1,0,0,39,39,0
3743,12,4,11,8,0,10,1,3,0,0,0,29,11,0
3744,5,0,11,8,4,0,3,4,1,0,0,39,26,0
3745,8,6,11,8,2,5,0,4,1,0,0,29,39,0
3746,21,4,11,8,5,9,4,2,0,0,0,29,39,0
3747,15,0,9,12,0,0,4,4,0,0,0,39,39,0
3749,39,4,12,13,2,1,0,4,1,0,0,78,39,1
3750,12,4,15,9,0,4,1,4,0,0,0,39,39,0
3751,24,4,11,8,2,13,0,4,1,0,0,39,39,0
3752,30,4,11,8,2,7,0,4,1,0,0,39,39,0
3753,6,4,9,12,4,1,1,1,0,0,0,39,39,0
3754,29,6,9,12,2,12,0,4,1,0,0,44,39,1
3755,11,2,11,8,4,11,2,2,1,0,49,39,39,0
3756,22,4,9,12,0,1,4,4,0,0,0,19,39,0
3757,25,6,15,9,2,5,5,4,0,0,0,49,39,0
3758,22,4,11,8,2,14,0,4,1,94,0,47,39,1
3759,51,0,5,3,2,0,0,4,1,0,0,29,39,0
3760,20,5,9,12,2,3,0,4,1,111,0,54,39,1
3761,40,4,14,14,4,10,1,4,0,0,0,39,39,0
3762,5,4,15,9,4,8,1,2,0,0,0,29,39,0
3763,7,4,8,10,4,1,1,4,1,0,0,29,39,1
3765,38,4,7,11,0,12,4,2,0,0,0,29,39,0
3766,20,2,11,8,2,11,0,4,1,0,0,39,39,0
3767,20,2,15,9,4,1,4,2,0,0,0,39,39,0
3768,11,4,9,12,2,8,0,4,1,0,0,49,39,0
3769,10,4,11,8,4,8,1,4,0,0,0,39,39,0
3770,23,7,9,12,4,10,4,4,0,0,0,19,39,0
3771,34,4,11,8,0,9,3,4,0,0,0,39,39,0
3772,35,4,8,10,2,14,0,4,1,0,0,55,39,0
3773,57,0,15,9,6,0,1,4,0,0,0,2,39,0
3774,32,5,15,9,2,4,0,4,1,111,0,49,39,1
3775,3,0,15,9,4,0,3,4,0,0,0,39,39,0
3776,23,1,15,9,0,1,1,4,0,0,0,49,39,0
3777,63,4,15,9,4,10,1,4,1,0,44,59,39,0
3778,46,4,15,9,2,11,0,4,1,0,0,39,39,0
3779,46,4,11,8,0,14,4,4,1,0,0,44,39,1
3780,34,4,15,9,0,1,4,4,0,0,0,39,39,0
3782,49,6,11,8,6,3,1,4,1,0,0,19,39,0
3783,16,6,11,8,2,12,0,4,1,0,0,65,39,0
3784,32,4,11,8,2,3,0,4,1,0,0,42,39,0
3785,3,4,15,9,4,14,1,4,1,0,0,31,39,0
3786,16,5,7,11,2,4,0,4,1,0,50,59,39,1
3787,9,4,15,9,1,11,0,4,1,0,0,39,39,0
3788,35,4,11,8,2,4,0,4,1,0,0,49,39,1
3789,16,4,9,12,2,4,0,4,1,0,0,49,39,1
3790,30,4,9,12,0,12,1,4,1,0,0,44,39,0
3791,6,4,11,8,4,4,3,2,1,0,0,73,39,0
3792,36,1,7,11,2,1,0,4,1,0,0,39,39,0
3793,2,4,15,9,4,8,3,4,1,0,0,19,39,0
3794,9,1,15,9,4,3,1,4,1,55,0,39,39,0
3795,36,4,5,3,2,14,0,4,1,0,0,59,39,1
3796,48,4,11,8,4,7,1,4,1,0,0,9,39,0
3797,51,4,9,12,2,14,0,4,1,0,0,29,39,0
3798,13,4,0,5,4,12,2,4,1,0,0,17,13,0
3799,11,4,1,6,2,3,0,4,1,0,0,44,39,0
3800,37,2,0,5,2,11,0,4,1,0,0,44,39,0
3801,13,4,11,8,4,8,3,4,1,0,0,9,39,0
3802,5,4,15,9,4,1,3,4,1,0,0,49,39,0
3804,2,4,1,6,4,8,2,4,1,0,0,19,39,0
3806,15,1,14,14,2,10,0,4,1,0,0,39,39,1
3807,6,4,9,12,4,4,3,4,0,0,0,39,39,0
3808,34,2,9,12,2,10,0,4,1,0,0,44,39,0
3809,8,4,15,9,2,12,0,4,1,0,0,43,39,1
3810,29,2,9,12,4,10,1,2,0,0,0,39,39,0
3811,21,4,15,9,0,13,4,4,0,0,0,49,39,0
3812,9,7,11,8,2,11,0,1,1,0,0,39,39,1
3813,29,4,11,8,0,10,1,4,0,0,0,39,39,0
3814,8,4,9,12,4,10,1,4,0,0,0,39,39,0
3815,3,4,15,9,4,8,3,4,0,3,0,15,39,0
3816,12,2,12,13,2,10,2,4,1,0,0,34,39,0
3817,34,5,12,13,2,4,0,4,1,0,0,49,39,1
3818,23,4,15,9,2,3,0,4,1,0,0,51,39,0
3820,7,6,9,12,4,5,4,4,1,0,0,49,39,0
3821,14,4,8,10,2,8,5,0,0,0,0,23,26,0
3822,37,0,11,8,0,0,1,4,0,0,0,29,39,0
3823,17,4,7,11,5,3,1,4,1,0,0,59,39,0
3824,2,4,15,9,4,5,3,4,1,0,0,65,39,0
3825,4,4,11,8,4,14,3,2,1,0,0,39,39,0
3826,4,4,0,5,2,5,0,4,1,0,0,69,39,0
3827,6,4,15,9,2,14,0,4,1,0,0,23,39,0
